company,price,change
Microsoft Corporation (MSFT),421.90,(-1.41%)
International Business Machines Corporation (IBM),182.27,(-1.95%)
General Electric Company (GE),154.63,(-1.76%)
Union Pacific Corporation (UNP),234.40,(-0.75%)
Costco Wholesale Corporation (COST),731.31,(-0.14%)
McDonald's Corporation (MCD),267.39,(-0.46%)
Visa Inc. (V),275.96,(+0.10%)
Walmart Inc. (WMT),60.14,(+0.08%)
The Walt Disney Company (DIS),114.01,(-2.68%)
3M Company (MMM),91.31,(-2.01%)
Intel Corporation (INTC),35.69,(-5.16%)
American Express Company (AXP),218.20,(0.00%)
Apple Inc. (AAPL),176.55,(+0.86%)
The Boeing Company (BA),169.55,(-2.20%)
"Cisco Systems, Inc. (CSCO)",48.49,(-2.10%)
"The Goldman Sachs Group, Inc. (GS)",389.49,(-2.01%)
JPMorgan Chase & Co. (JPM),182.79,(-6.47%)
"Salesforce, Inc. (CRM)",294.32,(-1.61%)
Verizon Communications Inc. (VZ),39.72,(-1.10%)
